Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Explosive Weight (max),Hospital Names,Temperature(C),Temperature(F),Year,Month,DayOfWeek,Cluster,Anomaly,Cluster_DBSCAN
,25 Jumaada al-THaany 1416 A.H,Holiday,Weekend,Unknown,Islamabad,33.718,73.0718,Capital,Egyptian Embassy,Foreign,High,Closed,None,Foreigner,None,14.0,15.0,0.0,60,2.0,0 Kg,Unknown,15.835,60.503,,,,2,1,-1
,10 SHa`baan 1421 A.H,Working Day,No Info,Unknown,Karachi,24.9918,66.9911,Sindh,office of Nawa-e-Waqt,Office Building,Low,Closed,None,Media,None,0.0,3.0,0.0,3,1.0,0 Kg,Unknown,23.77,74.786,,,,2,1,0
2002-05-08,25 safar 1423 A.H,Working Day,No Info,7:45 AM,Karachi ,24.9918,66.9911,Sindh,Pakistan Navy bus Parked outside Five Star Sheraton Hotel ,Hotel,Medium,Closed,None,Foreigner,Christian,13.0,15.0,20.0,40,1.0,2.5 Kg,1.Jinnah Postgraduate Medical Center 2. Civil Hospital Karachi 3. PN Shifa,31.46,88.628,2002.0,5.0,Wednesday,4,-1,-1
,3 Raby` al-THaany 1423 A.H,Working Day,No Info,11:10:00 AM,Karachi,24.9918,66.9911,Sindh,US Consulate Civil Lines Area ,Foreign,High,Closed,None,Foreigner,Christian,0.0,12.0,0.0,51,1.0,0 Kg,Unknown,31.43,88.574,,,,2,1,0
,4 Jumaada al-awal 1424 A.H,Working Day,No Info,Unknown,Quetta,30.2095,67.0182,Baluchistan,Imambargah MeCongy Road Quetta,Religious,Medium,Closed,during Friday prayer,Religious,Shiite,44.0,47.0,0.0,65,1.0,0 Kg,"1.CMH Quetta 
2.Civil Hospital 3. Boland Medical Complex",33.12,91.616,,,,0,-1,-1
,2 Thw al-Qi`dah 1424 A.H.,Holiday,Christmas/birthday of Quaid-e-Azam,1:40:00 PM/1:42:00 PM,Rawalpindi,33.6058,73.0437,Punjab,Jhanda Chichi area rawalpindi ,Mobile,Low,Open,president's/chief of army staff convoy passing from there,Military,None,16.0,18.0,0.0,50,2.0,30kg in each car,"1.District headquarters 
Hospital ",9.445,49.001,,,,2,1,-1
,8 MuHarram 1425 A.H,Working Day,No Info,Unknown,Rawalpindi,33.6058,73.0437,Punjab,Yadgar-i-Hussaini in Satellite Town,Religious,Medium,Closed,maghrib prayer was in process,Religious,shiite,0.0,1.0,3.0,4,1.0,0 Kg,Unknown,15.275,59.495,,,,2,1,1
2004-05-07,18 Raby` al-awal 1425 A.H,Working Day,No Info,1:20:00/1:17:00 PM,Karachi ,24.9918,66.9911,Sindh,Karachi Shia mosque Sindh Madrassatul Islam,Religious,Medium,Closed,Friday prayer was in progress,Religious,shiite,14.0,15.0,96.0,200,1.0,2kg,Civil hospital ,33.86,92.948,2004.0,5.0,Friday,1,-1,-1
2004-05-31,Unknown,Working Day,No Info,evening,Karachi ,24.9918,66.9911,Sindh,Imambargah off M.A Jinnah road near Numaish intersection,Religious,Medium,Closed,None,Religious,Shiite,16.0,18.0,0.0,35,1.0,0 Kg,Civil hospital-Liaquat National hospital-Jinnah Postgraduate Medical Center,31.605,88.889,2004.0,5.0,Monday,2,-1,-1
,15 Raby` al-THaany 1425 A.H,Working Day,No Info,Unknown,North waziristan,32.9746,70.1456,FATA,checkpost in north waziristan-close to Afghanistan border,Military,High,Open,None,Military,None,0.0,2.0,0.0,2,1.0,0 Kg,Unknown,27.18,80.924,,,,2,1,2
